rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1577455590043990425,,2312,,1577455590,47023910,'',,1.30114305019,1.14537227154,79.0
1577455590146088061,,2313,,1577455590,147023910,'',,1.29197990894,1.12704634666,79.0
1577455590244379566,,2314,,1577455590,247023910,'',,1.31030607224,1.14537227154,80.0
1577455590347064954,,2315,,1577455590,347023910,'',,1.30114305019,1.14537227154,80.0
1577455590444769162,,2316,,1577455590,447023910,'',,1.29197990894,1.13620936871,80.0
1577455590543540791,,2317,,1577455590,547023910,'',,1.31030607224,1.15453529358,80.0
1577455590645882411,,2318,,1577455590,647023910,'',,1.31030607224,1.15453529358,80.0
1577455590744153799,,2319,,1577455590,747023910,'',,1.30114305019,1.13620936871,80.0
1577455590846345235,,2320,,1577455590,847023910,'',,1.31946909428,1.15453529358,80.0
1577455590944696049,,2321,,1577455590,947023910,'',,1.31030607224,1.16369831562,80.0
1577455591043225186,,2322,,1577455591,47023910,'',,1.29197990894,1.14537227154,80.0
1577455591145329634,,2323,,1577455591,147023910,'',,1.32863199711,1.15453529358,80.0
1577455591244013318,,2324,,1577455591,247023910,'',,1.30114305019,1.15453529358,80.0
1577455591346136862,,2325,,1577455591,347023910,'',,1.31030607224,1.15453529358,80.0
1577455591444654361,,2326,,1577455591,447023910,'',,1.31030607224,1.16369831562,80.0
1577455591546785687,,2327,,1577455591,549094099,'',,1.30114305019,1.14537227154,80.0
1577455591645561514,,2328,,1577455591,649094099,'',,1.31030607224,1.16369831562,80.0
1577455591748542500,,2329,,1577455591,749094099,'',,1.31946909428,1.16369831562,80.0
1577455591845861412,,2330,,1577455591,849094099,'',,1.31030607224,1.14537227154,80.0
1577455591944932828,,2331,,1577455591,949094099,'',,1.31946909428,1.17286145687,81.0
1577455592047074840,,2332,,1577455592,49094099,'',,1.31946909428,1.16369831562,82.0
1577455592145252539,,2333,,1577455592,149094099,'',,1.31946909428,1.16369831562,82.0
1577455592247884788,,2334,,1577455592,249094099,'',,1.32863199711,1.17286145687,82.0
1577455592345924753,,2335,,1577455592,349094099,'',,1.33779501915,1.17286145687,82.0
1577455592444542112,,2336,,1577455592,449094099,'',,1.31946909428,1.17286145687,82.0
1577455592547038191,,2337,,1577455592,549094099,'',,1.33779501915,1.18202424049,82.0
1577455592645219132,,2338,,1577455592,649094099,'',,1.33779501915,1.18202424049,82.0
1577455592747812848,,2339,,1577455592,749094099,'',,1.32863199711,1.17286145687,82.0
1577455592845313124,,2340,,1577455592,849094099,'',,1.34695792198,1.19118738174,82.0
1577455592948421706,,2341,,1577455592,949094099,'',,1.33779501915,1.19118738174,82.0
1577455593047131616,,2342,,1577455593,49094099,'',,1.32863199711,1.18202424049,82.0
1577455593145292005,,2343,,1577455593,149094099,'',,1.34695792198,1.20035028458,82.0
1577455593247488772,,2344,,1577455593,249094099,'',,1.34695792198,1.20951330662,82.0
1577455593345685623,,2345,,1577455593,349094099,'',,1.32863199711,1.19118738174,82.0
1577455593448149347,,2346,,1577455593,449094099,'',,1.34695792198,1.20035028458,82.0
1577455593546506703,,2347,,1577455593,549094099,'',,1.33779501915,1.20035028458,82.0
1577455593645100069,,2348,,1577455593,649094099,'',,1.33779501915,1.19118738174,82.0
1577455593747571715,,2349,,1577455593,749094099,'',,1.34695792198,1.20035028458,82.0
1577455593844993402,,2350,,1577455593,849094099,'',,1.35612094402,1.20951330662,82.0
1577455593948379909,,2351,,1577455593,949094099,'',,1.33779501915,1.18202424049,83.0
1577455594046152626,,2352,,1577455594,49209970,'',,1.35612094402,1.20035028458,83.0
1577455594148339460,,2353,,1577455594,149209970,'',,1.35612094402,1.20951330662,83.0
1577455594247168718,,2354,,1577455594,249209970,'',,1.34695792198,1.19118738174,83.0
1577455594349216280,,2355,,1577455594,349209970,'',,1.35612094402,1.20035028458,83.0
1577455594448104762,,2356,,1577455594,449209970,'',,1.35612094402,1.18202424049,83.0
1577455594546289906,,2357,,1577455594,549209970,'',,1.36528384686,1.20951330662,83.0
1577455594648368717,,2358,,1577455594,649209970,'',,1.35612094402,1.20035028458,83.0
1577455594746528969,,2359,,1577455594,749209970,'',,1.35612094402,1.19118738174,83.0
1577455594848695728,,2360,,1577455594,849209970,'',,1.36528384686,1.19118738174,83.0
1577455594947480528,,2361,,1577455594,949209970,'',,1.36528384686,1.20951330662,83.0
1577455595045743793,,2362,,1577455595,49209970,'',,1.35612094402,1.19118738174,83.0
1577455595147945994,,2363,,1577455595,149209970,'',,1.36528384686,1.20035028458,83.0
1577455595246272599,,2364,,1577455595,249209970,'',,1.36528384686,1.20035028458,83.0
1577455595348838351,,2365,,1577455595,349209970,'',,1.35612094402,1.19118738174,84.0
1577455595446869823,,2366,,1577455595,449209970,'',,1.3744468689,1.20035028458,84.0
1577455595549631014,,2367,,1577455595,549209970,'',,1.3744468689,1.19118738174,84.0
1577455595648029998,,2368,,1577455595,649209970,'',,1.36528384686,1.19118738174,84.0
1577455595746176820,,2369,,1577455595,749209970,'',,1.3744468689,1.20951330662,84.0
1577455595848564369,,2370,,1577455595,849209970,'',,1.38360977173,1.20035028458,84.0
1577455595947340580,,2371,,1577455595,949209970,'',,1.36528384686,1.18202424049,84.0
1577455596049528252,,2372,,1577455596,49209970,'',,1.39277279377,1.20951330662,84.0
1577455596148404713,,2373,,1577455596,149209970,'',,1.38360977173,1.20951330662,84.0
1577455596246383812,,2374,,1577455596,249209970,'',,1.3744468689,1.18202424049,84.0
1577455596348700233,,2375,,1577455596,349209970,'',,1.38360977173,1.20035028458,84.0
1577455596446846192,,2376,,1577455596,449209970,'',,1.39277279377,1.20035028458,84.0
1577455596549178381,,2377,,1577455596,550771062,'',,1.3744468689,1.19118738174,84.0
1577455596648124628,,2378,,1577455596,650771062,'',,1.38360977173,1.20035028458,85.0
1577455596749911287,,2379,,1577455596,750771062,'',,1.38360977173,1.20951330662,85.0
1577455596847624468,,2380,,1577455596,850771062,'',,1.38360977173,1.19118738174,85.0
1577455596950625859,,2381,,1577455596,950771062,'',,1.39277279377,1.21867620945,85.0
1577455597049046533,,2382,,1577455597,50771062,'',,1.39277279377,1.21867620945,85.0
1577455597147765532,,2383,,1577455597,150771062,'',,1.38360977173,1.20951330662,85.0
1577455597250140968,,2384,,1577455597,250771062,'',,1.38360977173,1.22783923149,85.0
1577455597348399149,,2385,,1577455597,350771062,'',,1.39277279377,1.22783923149,85.0
1577455597450521869,,2386,,1577455597,450771062,'',,1.3744468689,1.21867620945,85.0
1577455597548928296,,2387,,1577455597,550771062,'',,1.39277279377,1.23700213432,85.0
1577455597647557904,,2388,,1577455597,650771062,'',,1.38360977173,1.22783923149,85.0
1577455597749666543,,2389,,1577455597,750771062,'',,1.39277279377,1.23700213432,85.0
1577455597847009451,,2390,,1577455597,850771062,'',,1.39277279377,1.23700213432,85.0
1577455597950288082,,2391,,1577455597,950771062,'',,1.38360977173,1.22783923149,85.0
1577455598048900594,,2392,,1577455598,50771062,'',,1.39277279377,1.23700213432,85.0
1577455598151056026,,2393,,1577455598,150771062,'',,1.38360977173,1.23700213432,85.0
1577455598249587402,,2394,,1577455598,250771062,'',,1.3744468689,1.23700213432,85.0
1577455598347532848,,2395,,1577455598,350771062,'',,1.39277279377,1.24616515636,85.0
1577455598450263510,,2396,,1577455598,450771062,'',,1.39277279377,1.23700213432,85.0
1577455598548243991,,2397,,1577455598,550771062,'',,1.3744468689,1.23700213432,85.0
1577455598650885090,,2398,,1577455598,650771062,'',,1.39277279377,1.24616515636,85.0
1577455598749426669,,2399,,1577455598,750771062,'',,1.39277279377,1.24616515636,85.0
1577455598847108089,,2400,,1577455598,850771062,'',,1.3744468689,1.22783923149,85.0
1577455598950066843,,2401,,1577455598,950771062,'',,1.39277279377,1.24616515636,85.0
1577455599048016622,,2402,,1577455599,53314035,'',,1.40193581581,1.24616515636,85.0
1577455599150394151,,2403,,1577455599,153314035,'',,1.3744468689,1.22783923149,85.0
1577455599248644993,,2404,,1577455599,253314035,'',,1.39277279377,1.24616515636,86.0
